ID,Oras,Judet,Tip Artera,Nume Artera,Numar,Suprafata,Suprafata2,An,Finisaje,Latitudine,Longitudine,"Pret","Preț unitar
(€/m²)"
125,Bistra,Alba,,,,120,4500,1990,standard,46.38959827,23.22623821,47000,391.67
126,Garda De Sus,Alba,,,,195.5,400,1900,standard,46.39343113,22.9677797,24000,122.76
127,Horea,Alba,,,,195.5,400,1900,standard,46.39429724,22.96852082,24000,122.76
128,Unirea,Alba,,,,115,250,<2000,standard,46.41259261,23.87162383,18800,163.48
129,Unirea,Alba,,,,207,500,<1990,standard,46.42750314,23.90395389,30000,144.93
130,Unirea,Alba,,,,172.5,3500,<1990,standard,46.42797642,23.95642456,30000,173.91
131,Horea,Alba,,,,130,1000,1965,inferior,46.44078305,22.92729314,12500,96.15
132,Garda De Sus,Alba,,,,230,750,<2000,standard,46.45412342,22.81373587,64000,278.26
133,Vidra,Alba,,,,115,750,2009,standard,46.47658888,22.75493124,50000,434.78
134,Poiana Vadului,Alba,,,,115,30000,<1990,inferior,46.5006809,22.96547221,30000,260.87
135,Horea,Alba,,,,115,30000,<1990,inferior,46.5010493,22.9663461,30000,260.87
136,Savarsin,Arad,,,,180,680,<1990,standard,46.00982285,22.23328778,45000,250
137,Savarsin,Arad,,,,998,1000,1823,standard,46.01077664,22.23380276,150000,150.3
138,Savarsin,Arad,,,,92,900,1970,inferior,46.01137275,22.23311611,27000,293.48
139,Vinga,Arad,,,,144,2494,1900,inferior,46.01308657,21.21020729,22800,158.33
140,Vinga,Arad,,,,115,2600,1960,inferior,46.04419366,21.10085899,24900,216.52
141,Zabrani,Arad,,,,480,120000,<2000,standard,46.05804326,21.61773152,90000,187.5
142,Zabrani,Arad,,,,690,2350,1900,standard,46.05875798,21.6182465,100000,144.93
143,Sagu,Arad,,,,244.22,698,1974,standard,46.06001696,21.28442618,49500,202.69
144,Sagu,Arad,,,,130,1000,<1990,standard,46.06609158,21.3323197,47000,361.54
145,Sagu,Arad,,,,115,1500,<1990,standard,46.06626556,21.33240014,35000,304.35
